i,q,p_L
30,0.0,0.6538583393740639
30,0.05,0.6533656293086463
30,0.1,0.6536373085612435
30,0.15,0.6534986084527362
30,0.2,0.652861905124991
30,0.25,0.6524890772500879
30,0.3,0.651971620767101
30,0.35,0.6514738486491636
30,0.4,0.6512644660883462
30,0.45,0.6503895090938625
30,0.5,0.6498891885251858
30,0.55,0.6494194597079554
30,0.6,0.6488347114292335
30,0.65,0.648394654052012
30,0.7,0.6481456017483007
30,0.75,0.6473245157416374
30,0.8,0.6463547240350327
30,0.85,0.6452647507732234
30,0.9,0.6449084933154902
30,0.95,0.6434124429115778
30,1.0,0.6415492285644453
30,1.05,0.641944315903773
30,1.1,0.641132005328806
30,1.15,0.6399153730123928
30,1.2,0.638643547385303
30,1.25,0.6380067687330844
30,1.3,0.6366880078157579
30,1.35,0.6358707695553816
30,1.4,0.6346707607792761
30,1.45,0.6331547926110451
30,1.5,0.6322270949771204
30,1.55,0.6307788100709144
30,1.6,0.6288066907543319
30,1.65,0.6278834779206226
30,1.7,0.6256776870102145
30,1.75,0.6245719903781778
30,1.8,0.622720928570559
30,1.85,0.6208627559933184
30,1.9,0.6193525183555686
30,1.95,0.6178336620309107
30,2.0,0.6146609929931499
30,2.05,0.6141711990074411
30,2.1,0.6123775998404868
30,2.15,0.6100773971313675
30,2.2,0.6082877670714949
30,2.25,0.6062185171409544
30,2.3,0.6040899757306535
30,2.35,0.6022150808020797
30,2.4,0.5996674080295229
30,2.45,0.5977323681486528
30,2.5,0.5949265839367415
30,2.55,0.593127634184999
30,2.6,0.59082628837466
30,2.65,0.5885103053492259
30,2.7,0.5857036889327737
30,2.75,0.5830813038595263
30,2.8,0.5809786079477439
30,2.85,0.5790483729259301
30,2.9,0.576832227889067
30,2.95,0.573824255918989
35,0.0,0.6387255837033095
35,0.05,0.6386065813853422
35,0.1,0.6385992279607912
35,0.15,0.6382863033611772
35,0.2,0.6376939051899404
35,0.25,0.6375616890941602
35,0.3,0.6368664814884117
35,0.35,0.6365395737903867
35,0.4,0.6357016483971766
35,0.45,0.6354122746389969
35,0.5,0.6346406275830323
35,0.55,0.6338683194814462
35,0.6,0.6329428565668491
35,0.65,0.6320560623141231
35,0.7,0.6317022331717888
35,0.75,0.6315891616997837
35,0.8,0.6306263072462024
35,0.85,0.6297111797107237
35,0.9,0.6284397606377259
35,0.95,0.6269365342337168
35,1.0,0.6243956822231838
35,1.05,0.6249459695402434
35,1.1,0.623817246488002
35,1.15,0.6225600842420558
35,1.2,0.6216010405029759
35,1.25,0.6199138862121323
35,1.3,0.6186791047521345
35,1.35,0.6169341995843495
35,1.4,0.6154945131625953
35,1.45,0.6145659223259307
35,1.5,0.612293260245998
35,1.55,0.6104473646703837
35,1.6,0.6089404787341121
35,1.65,0.6073042975531069
35,1.7,0.605085868595401
35,1.75,0.6032352170454608
35,1.8,0.6009933824001801
35,1.85,0.5985648640328446
35,1.9,0.5970755232172396
35,1.95,0.5952201878416534
35,2.0,0.5906609004065588
35,2.05,0.589928654460604
35,2.1,0.5875457596790208
35,2.15,0.5854599999882225
35,2.2,0.5825826986585024
35,2.25,0.5797734664561073
35,2.3,0.5779223912588486
35,2.35,0.5748122249983043
35,2.4,0.5721398042906948
35,2.45,0.5692135571755405
35,2.5,0.5677824789664206
35,2.55,0.5638708088516171
35,2.6,0.5613130659164038
35,2.65,0.558433125920767
35,2.7,0.5561300008833066
35,2.75,0.5533426809085871
35,2.8,0.5510194273859645
35,2.85,0.5478370244795236
35,2.9,0.5454637506251697
35,2.95,0.5426153791015249
40,0.0,0.6260844811369234
40,0.05,0.6264579511180719
40,0.1,0.6261159087117709
40,0.15,0.6254719978296732
40,0.2,0.6253483433934033
40,0.25,0.6245146717919654
40,0.3,0.6242543344744933
40,0.35,0.6233369409524694
40,0.4,0.6229299197320577
40,0.45,0.6225921703084524
40,0.5,0.6219950691967353
40,0.55,0.6206095341958773
40,0.6,0.6197696084726673
40,0.65,0.6189063953435887
40,0.7,0.6181219980115116
40,0.75,0.617576195317591
40,0.8,0.6168794585930962
40,0.85,0.6156594123596717
40,0.9,0.6143321975552061
40,0.95,0.6124859112815602
40,1.0,0.6098292099428088
40,1.05,0.6098787784072184
40,1.1,0.6085040991221
40,1.15,0.6071617853479478
40,1.2,0.6053441511410365
40,1.25,0.6039710434860908
40,1.3,0.6026594156039362
40,1.35,0.6007392404352749
40,1.4,0.5986082539514183
40,1.45,0.5975718284122021
40,1.5,0.5950324244273706
40,1.55,0.5928099111101193
40,1.6,0.5902485190595774
40,1.65,0.5880573305952537
40,1.7,0.5860325955711307
40,1.75,0.5836246928710741
40,1.8,0.5809690325742805
40,1.85,0.5783643808072814
40,1.9,0.5758035331576524
40,1.95,0.5729556569011405
40,2.0,0.5689099285447454
40,2.05,0.5674140962487273
40,2.1,0.5645278022708643
40,2.15,0.5615597735774044
40,2.2,0.5588708055626418
40,2.25,0.5558070991499411
40,2.3,0.5527312065407983
40,2.35,0.5501600630308691
40,2.4,0.5466121649602028
40,2.45,0.5430737395653908
40,2.5,0.5398581912315787
40,2.55,0.5373979560506644
40,2.6,0.5344301503605875
40,2.65,0.5315212961122107
40,2.7,0.528206201523896
40,2.75,0.5253174478447629
40,2.8,0.5215812352087289
40,2.85,0.5187225903114075
40,2.9,0.5159172774971795
40,2.95,0.5131760942776897
45,0.0,0.6141060304774306
45,0.05,0.6132486364876335
45,0.1,0.6129402180800649
45,0.15,0.6126523506961262
45,0.2,0.6123461699337082
45,0.25,0.6118071035406871
45,0.3,0.6112546816779947
45,0.35,0.6104082078736552
45,0.4,0.6096550446719735
45,0.45,0.6093481641762959
45,0.5,0.60837694484973
45,0.55,0.6071549466271058
45,0.6,0.6063109684948123
45,0.65,0.6056512564721219
45,0.7,0.604606333025141
45,0.75,0.6036138256908563
45,0.8,0.6024911882823455
45,0.85,0.6012378560128688
45,0.9,0.6000382481127554
45,0.95,0.5982964687384149
45,1.0,0.5952755916378888
45,1.05,0.5949076583812667
45,1.1,0.5932562404950513
45,1.15,0.5911994659716873
45,1.2,0.589815448133138
45,1.25,0.5878596930884376
45,1.3,0.5864206916543109
45,1.35,0.5836408429083328
45,1.4,0.5822564935736638
45,1.45,0.5797126532260745
45,1.5,0.5774572180270964
45,1.55,0.5752170813971066
45,1.6,0.5720214418455872
45,1.65,0.5700507830711062
45,1.7,0.566461990228506
45,1.75,0.5642597069488775
45,1.8,0.5613527120733381
45,1.85,0.5584481117520619
45,1.9,0.5553302729588407
45,1.95,0.5523529317308401
45,2.0,0.5476786305284487
45,2.05,0.5459885340626138
45,2.1,0.542738573593933
45,2.15,0.5395592193351562
45,2.2,0.5359206085653059
45,2.25,0.5324900214341881
45,2.3,0.5294963187311046
45,2.35,0.5259009504390035
45,2.4,0.521834340617146
